bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,article-number
Peck_et_al_2020_data,primary dataset,Misc,"Dataset: Controls on sediment accretion and blue carbon burial in tidal saline wetlands: Insights from the Oregon coast, U.S.A.",Erin Peck and Robert Wheatcroft and Laura Brophy,NA,10.25573/SERC.11317820.V2,https://smithsonian.figshare.com/articles/Dataset_Controls_on_sediment_accretion_and_blue_carbon_burial_in_tidal_saline_wetlands_Insights_from_the_Oregon_coast_U_S_A_/11317820/2,2020,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020_article,associated source,Article,"Controls on Sediment Accretion and Blue Carbon Burial in Tidal Saline Wetlands: Insights From the Oregon Coast, {USA}",Erin K. Peck and Robert A. Wheatcroft and Laura S. Brophy,NA,10.1029/2019jg005464,https://doi.org/10.1029/2019jg005464,2020,feb,American Geophysical Union ({AGU}),125,2,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
Okeefe-Suttles_et_al_2021_FL_data,primary dataset,Misc,"Collection, analysis, and age-dating of sediment cores from mangrove and salt marsh ecosystems in Tampa Bay, Florida, 2015",Jennifer A {O'keefe Suttles} and Meagan J Eagle and Adrian C Mann and Kevin D Kroeger,NA,10.5066/P9QB17H2,https://www.sciencebase.gov/catalog/item/60bfb8a4d34e86b938916d6f,2021,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McTigue_et_al_2019_article,associated source,Article,Sea-level rise explains changing carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Tony Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,10.1029/2019JG005207,NA,2019,NA,Wiley Online Library,NA,NA,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
McTigue_et_al_2020_data,primary dataset,Misc,Dataset: Carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Antonio Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,10.25573/serc.11421063,NA,2020,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McClellan_et_al_2021_data,primary dataset,Misc,Data for: Root-zone carbon and nitrogen pools across two chronosequences of coastal marshes formed using different restoration techniques: Dredge sediment versus river sediment diversion,S. Alex McClellan,NA,10.17632/5ZBV2MB5ZP.1,https://data.mendeley.com/datasets/5zbv2mb5zp/1,2021,NA,Mendeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McClellan_et_al_2021_article,associated source,Article,Root-zone carbon and nitrogen pools across two chronosequences of coastal marshes formed using different restoration techniques: Dredge sediment versus river sediment diversion,S. Alex McClellan and Tracy Elsey-Quirk and Edward A. Laws and Ronald D. DeLaune,NA,https://doi.org/10.1016/j.ecoleng.2021.106326,https://www.sciencedirect.com/science/article/pii/S0925857421001816,2021,NA,NA,169,NA,106326,Ecological Engineering,NA,NA,NA,NA,NA,NA,0925-8574,NA
Doughty_et_al_2019_data,primary dataset,Misc,Mangroves marching northward: the impacts of rising seas and temperatures on ecosystems at Kennedy Space Center,Cheryl Doughty and {J. Adam Langley} and Wayne Walker and Ilka C. Feller and Ronald Schaub and Samantha Chapman,NA,10.25573/DATA.9695918.V1,https://smithsonian.figshare.com/articles/Mangroves_marching_northward_the_impacts_of_rising_seas_and_temperatures_on_ecosystems_at_Kennedy_Space_Center/9695918/1,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2015_article,associated source,Article,Mangrove Range Expansion Rapidly Increases Coastal Wetland Carbon Storage,Cheryl L. Doughty and J. Adam Langley and Wayne S. Walker and Ilka C. Feller and Ronald Schaub and Samantha K. Chapman,NA,10.1007/s12237-015-9993-8,https://doi.org/10.1007/s12237-015-9993-8,2015,may,Springer Science and Business Media {LLC},39,2,385--396,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA
White_et_al_2020_data,primary dataset,Misc,"Biogeochemical properties of sediment cores from Barataria Basin, Louisiana, 2018 and 2019",John R. White and Yadav Sapkota and Lisa G. Chambers and Robert L. Cook and Zuo Xue,NA,10.26008/1912/BCO-DMO.833824.1,https://hdl.handle.net/1912/26484,2020,NA,Biological and Chemical Oceanography Data Management Office (BCO-DMO),NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA
Carlin_et_al_2021_data,primary dataset,Misc,"Dataset: Sedimentary organic carbon measurements in a restored coastal wetland in San Francisco Bay, CA, USA",Joseph Carlin and Patty Y. Oikawa and Ariane Arias-Ortiz and Sadie Kanneg and Theresa Duncan and Katya Beener,NA,10.25573/SERC.16416684,https://smithsonian.figshare.com/articles/dataset/Dataset_Sedimentary_organic_carbon_measurements_in_a_restored_coastal_wetland_in_San_Francisco_Bay_CA_USA/16416684,2021,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021_article,associated source,Article,"Tidal and nontidal marsh restoration: a trade-off between carbon sequestration, methane emissions, and soil accretion",Ariane Arias-Ortiz and Patty Y. Oikawa and Joseph Carlin and Pere Masqué and Julie Shahan and Sadie Kanneg and Adina Paytan and Dennis D. Baldocchi,NA,10.1029/2021JG006573,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2021JG006573,2021,NA,NA,NA,NA,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019_data,primary dataset,Misc,Dataset: Carbon sequestration and sediment accretion in San Francisco Bay tidal wetlands,John C. Callaway and {Evyan L. Borgnis} and {R. Eugene Turner} and Charles S. Milan,NA,10.25573/DATA.9693251,https://smithsonian.figshare.com/articles/Dataset_Carbon_sequestration_and_sediment_accretion_in_San_Francisco_Bay_tidal_wetlands/9693251,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2012_article,associated source,Article,Carbon Sequestration and Sediment Accretion in San Francisco Bay Tidal Wetlands,John C. Callaway and Evyan L. Borgnis and R. Eugene Turner and Charles S. Milan,NA,10.1007/s12237-012-9508-9,https://doi.org/10.1007/s12237-012-9508-9,2012,jun,Springer Science and Business Media {LLC},35,5,1163--1181,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA
Burden_et_al_2018_data,primary dataset,Misc,"Soil biochemical measurements from salt marshes of different ages on the Essex coast, UK (2011)",A. Burden and A. Garbutt and S. Hughes and S. Oakley and J.A. Tempest,NA,10.5285/0B1FAAB4-3539-457F-9169-B0B1FBD59BC2,https://catalogue.ceh.ac.uk/id/0b1faab4-3539-457f-9169-b0b1fbd59bc2,2018,NA,NERC Environmental Information Data Centre,NA,NA,NA,NA,This resource is made available under the terms of the Open Government Licence,NA,NA,NA,en,NA,NA,NA
Burden_et_al_2019_article,associated source,Article,Effect of restoration on saltmarsh carbon accumulation in Eastern England,A. Burden and A. Garbutt and C. D. Evans,NA,10.1098/rsbl.2018.0773,https://doi.org/10.1098/rsbl.2018.0773,2019,jan,The Royal Society,15,1,20180773,Biology Letters,NA,NA,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2020_data,primary dataset,Misc,Dataset: Increasing rates of carbon burial in southwest Florida coastal wetlands,"Breithaupt, Joshua L. and Smoak, Joseph M. and Bianchi, Thomas S. and Vaughn, Derrick and Sanders, Christian J. and Radabaugh, Kara R. and  Michael J. Osland and Laura C. Feher and James C. Lynch and Donald R. Cahoon and Gordon H. Anderson and Kevin R.T. Whelan and Brad E. Rosenheim and Ryan P. Moyer and Lisa G. Chambers",NA,10.25573/data.9894266,https://doi.org/10.25573/data.9894266,2020,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2014_article,associated source,Article,"Temporal variability of carbon and nutrient burial, sediment accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L Breithaupt and Joseph M Smoak and Thomas J {Smith III} and Christian J Sanders,NA,10.1002/2014JG002715,https://doi.org/10.1002/2014JG002715,2014,NA,Wiley Online Library,119,10,2032--2048,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2019_data,primary dataset,Misc,"Temporal variability of carbon and nutrient burial, sedient accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L. Breithaupt and Joseph M. Smoak and Christian J. Sanders and III {Thomas J. Smith},NA,10.25573/serc.11310926,https://doi.org/10.25573/serc.11310926,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unger_et_al_2016_article,synthesis source,Article,Stability of organic carbon accumulating in Spartina alterniflora-dominated salt marshes of the Mid-Atlantic U.S.,Viktoria Unger and Tracy Elsey-Quirk and Christopher Sommerfield and David Velinsky,NA,10.1016/j.ecss.2016.10.001,https://doi.org/10.1016/j.ecss.2016.10.001,2016,dec,Elsevier {BV},182,NA,179--189,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Arriola_and_Cable_2017_article,associated source,Article,Variations in carbon burial and sediment accretion along a tidal creek in a Florida salt marsh,Jill M. Arriola and Jaye E. Cable,NA,10.1002/lno.10652,https://doi.org/10.1002/lno.10652,2017,sep,Wiley,62,S1,S15--S28,Limnology and Oceanography,NA,NA,NA,NA,NA,NA,NA,NA
Arias-Ortiz_et_al_2021_data,primary dataset,Misc,"{Dataset: Tidal and nontidal marsh restoration: a trade-off between carbon sequestration, methane emissions, and soil accretion}",Ariane Arias-Ortiz and Pere Masqué and Adina Paytan and Dennis D. Baldocchi,NA,10.25573/serc.15127743.v2,https://smithsonian.figshare.com/articles/dataset/Dataset_Tidal_and_nontidal_marsh_restoration_a_trade-off_between_carbon_sequestration_methane_emissions_and_soil_accretion/15127743,2021,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019_data,primary dataset,Misc,Dataset: Factors influencing blue carbon accumulation across a 32‐year chronosequence of created coastal marshes,Katherine M Abbott and Tracy Quirk and Ronald D. Delaune,NA,10.25573/DATA.10005215,https://smithsonian.figshare.com/articles/Dataset_Factors_influencing_blue_carbon_accumulation_across_a_32_year_chronosequence_of_created_coastal_marshes/10005215,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019_article,associated source,Article,Factors influencing blue carbon accumulation across a 32-year chronosequence of created coastal marshes,Katherine M. Abbott and Tracy Elsey-Quirk and Ronald D. DeLaune,NA,10.1002/ecs2.2828,https://doi.org/10.1002/ecs2.2828,2019,aug,Wiley,10,8,NA,Ecosphere,NA,NA,NA,NA,NA,NA,NA,NA
