study_id,site_id,core_id,method_id,depth_min,depth_max,cs137_activity,cs137_activity_se,is_peak,max_core_depth,rank,depth_rank,date,mean_cs,sd_cs,z_score,p_value_overall,index,n_dates,upper_p,lower_p,min_possible_peak_depth,max_possible_peak_depth,sig_level,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,pb210_cic_accretion_rate,pb210_cic_notes,pb210_cic_max_depth,pb210_cic_r2,geomorphic_id,country,admin_division,habitat,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth,high_accretion,low_accretion,age_min,age_max,depth_med,age_mean,age_sd
Baustian_et_al_2021,Barataria basin,3565,single set of methods,28,30,8.74,0.17,1,100,1,1,1963,1.5797849462365592,2.3451782070483254,3.053164587767251,0.001132208521510747,8,13,9.484700059802108e-49,5.066493490866626e-140,22,38,3,2015,2,1,NA,29.502086231,-90.101363529,NA,RTK,NA,NA,NA,NA,NA,NA,brackish,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.7307692307692307,0.4230769230769231,1984.8947368421052,1925.1818181818182,30,1955.0382775119617,17.237634831307453
Baustian_et_al_2021,Barataria basin,3617,single set of methods,20,22,2.28,0.1,1,100,1,1,1963,1.5797849462365592,2.3451782070483254,0.29857647988497266,0.3826316067982515,8,12,0.9601217479963301,1.604709083984661e-36,18,38,1,2015,2,1,NA,29.546413761,-89.914393761,NA,RTK,NA,NA,NA,NA,NA,NA,brackish,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.7307692307692307,0.34615384615384615,1990.3684210526317,1905.2222222222222,28,1947.795321637427,24.579590407605163
Baustian_et_al_2021,Barataria basin,4245,single set of methods,38,40,3.99,0.16,1,100,1,1,1963,1.5797849462365592,2.3451782070483254,1.0277321555008698,0.1520379188217199,8,14,1.8095645298133313e-24,3.850036345165982e-39,24,60,2,2015,7,1,NA,29.673613704,-90.132848578,NA,RTK,NA,NA,NA,NA,NA,NA,brackish,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,1.1538461538461537,0.46153846153846156,1994.2,1885,42,1939.6,31.52332469775358
Baustian_et_al_2021,Terrebonne basin,309,single set of methods,22,24,1.92,0.09,1,100,1,1,1963,0.76,1.1133707578540244,1.0418811449977827,0.1487333934173154,7,9,0.019630713118087957,2.958026943878814e-42,18,38,2,2015,2,1,NA,29.252104186,-91.194617808,NA,RTK,NA,NA,NA,NA,NA,NA,brackish,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.7307692307692307,0.34615384615384615,1990.3684210526317,1905.2222222222222,28,1947.795321637427,24.579590407605163
Baustian_et_al_2021,Terrebonne basin,337,single set of methods,30,32,0.62,0.08,1,100,1,1,1963,0.76,1.1133707578540244,-0.12574427612042205,0.5500328236367287,8,12,0.6373829322438178,0.8333425588983074,24,38,0,2015,2,1,NA,29.310924599,-90.354254056,NA,RTK,NA,NA,NA,NA,NA,NA,saline,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.7307692307692307,0.46153846153846156,1982.157894736842,1932.6666666666667,31,1957.4122807017543,14.286886924420447
Baustian_et_al_2021,Terrebonne basin,377,single set of methods,20,22,1.04,0.06,1,100,1,1,1963,0.76,1.1133707578540244,0.2514885522408441,0.40071820592137297,8,13,0.13186505812462088,1.1162699573926237e-9,20,22,1,2015,2,1,NA,29.231801672,-91.010076699,NA,RTK,NA,NA,NA,NA,NA,NA,saline,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.4230769230769231,0.38461538461538464,1967.7272727272727,1957.8,21,1962.7636363636364,2.865756790704889
Baustian_et_al_2021,Terrebonne basin,398,single set of methods,48,50,4.86,0.12,1,100,1,1,1963,0.76,1.1133707578540244,3.6825109435266463,1.1547397530242698e-4,10,14,5.268875905576457e-10,2.2744107092254308e-98,40,60,3,2015,2,1,NA,29.388554091,-90.917009367,NA,RTK,NA,NA,NA,NA,NA,NA,brackish,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,1.1538461538461537,0.7692307692307693,1980.3333333333333,1937,50,1958.6666666666665,12.50925583244187
Baustian_et_al_2021,Terrebonne basin,399,single set of methods,38,40,3.95,0.1,1,100,1,1,1963,0.76,1.1133707578540244,2.865173148743903,0.0020839064120206086,8,11,9.823316007179956e-97,1.194419978022209e-58,22,50,3,2015,2,1,NA,29.302319496,-91.105471945,NA,RTK,NA,NA,NA,NA,NA,NA,brackish,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.9615384615384616,0.4230769230769231,1992.12,1896.8181818181818,36,1944.469090909091,27.511265190766736
Baustian_et_al_2021,Terrebonne basin,4455,single set of methods,38,40,1.61,0.1,1,100,1,1,1963,0.76,1.1133707578540244,0.763447390731134,0.22259831307592737,7,10,1.012365131078574e-5,9.267819073609837e-21,32,50,2,2015,2,1,NA,29.257987426,-90.946233452,NA,RTK,NA,NA,NA,NA,NA,NA,saline,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.9615384615384616,0.6153846153846154,1981.72,1933.75,41,1957.7350000000001,13.847746206513182
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,single set of methods,12,14,43.54345036,1.598562424,1,50,1,1,1963,7.250237840914286,13.072321198213444,2.776340327687618,0.002748731517964287,4,13,6.055019286384884e-19,6.055019286384884e-19,10,16,3,2009,NA,NA,NA,39.375811,-75.651786,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,NA,78,0.34782608695652173,0.21739130434782608,1980.25,1935.4,13,1957.825,12.947079786577332
Boyd_2012,Blackbird_Creek_Marsh,BBRC2,single set of methods,8,10,51.56887524,1.810248546,1,86,1,1,1963,7.250237840914286,13.072321198213444,3.390265334448989,3.4912502969186576e-4,3,22,3.8741725067337167e-50,5.557125145352005e-35,6,12,3,2009,NA,NA,NA,39.378697,-75.643872,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,NA,102,0.2608695652173913,0.13043478260869565,1986,1917,9,1951.5,19.91858428704209
Boyd_2012,Broad_Dyke_Marsh,NCBD1,single set of methods,12,14,44.50564574,1.865834717,1,50,1,1,1963,9.444677690102564,11.130138513264832,3.1500926972393004,8.160933306007312e-4,4,13,8.13870119037332e-16,8.13870119037332e-16,10,16,3,2011,NA,NA,NA,39.666314,-75.567868,NA,NA,latitude and longitude from handheld GPS or better,-0.361,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,50,0.3333333333333333,0.20833333333333334,1981,1934.2,13,1957.6,13.50999629903723
Boyd_2012,Broad_Dyke_Marsh,NCBD2,single set of methods,24,26,20.04627965,1.145501694,1,50,1,1,1963,9.444677690102564,11.130138513264832,0.9525130300276595,0.1704184304559606,7,13,2.1484977078955023e-5,2.1484977078955023e-5,22,28,2,2010,NA,NA,NA,39.66571,-75.559982,NA,NA,latitude and longitude from handheld GPS or better,-0.372,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,70,0.5957446808510638,0.46808510638297873,1973.0714285714287,1950.1818181818182,25,1961.6266233766235,6.6076613600436165
Boyd_2012,Broad_Dyke_Marsh,NCBD3,single set of methods,16,18,43.63571671,2.440742681,1,50,1,1,1963,9.444677690102564,11.130138513264832,3.0719329304975638,0.0010633875287923145,5,13,2.155396173349212e-8,2.155396173349212e-8,14,20,3,2010,NA,NA,NA,39.667368,-75.564615,NA,NA,latitude and longitude from handheld GPS or better,-0.483,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,50,0.425531914893617,0.2978723404255319,1977.1,1942.857142857143,17,1959.9785714285713,9.8850613946252
Boyd_2012,Buttonwood_Marsh,NCBW1,single set of methods,12,14,20.53170023,1.418424886,1,66,1,1,1963,6.320354920435897,7.590303065908911,1.8723027507811831,0.030582365213858265,4,16,0.5092497178502563,0.5286028204003431,10,16,1,2010,NA,NA,NA,39.676677,-75.554368,NA,NA,latitude and longitude from handheld GPS or better,-0.093,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,66,0.3404255319148936,0.2127659574468085,1980.625,1934.8,13,1957.7125,13.228538042807314
Boyd_2012,Buttonwood_Marsh,NCBW2,single set of methods,20,22,2.708536855,8.125753241342194,1,38,1,1,1963,6.320354920435897,7.590303065908911,-0.4758463573948737,0.6829080795606568,6,10,0.17683553896135026,0.14465556834357943,18,24,0,2010,NA,NA,NA,39.672176,-75.552823,NA,NA,latitude and longitude from handheld GPS or better,0.064,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,38,0.5106382978723404,0.3829787234042553,1974.75,1947.3333333333333,21,1961.0416666666665,7.914509940141142
Boyd_2012,Buttonwood_Marsh,NCBW3,single set of methods,12,14,27.60959935,1.331757145,1,50,1,1,1963,6.320354920435897,7.590303065908911,2.804795045033527,0.0025174291850852404,4,13,1.9149910656775827e-21,1.382321997060299e-5,10,16,3,2010,NA,NA,NA,39.674905,-75.552347,NA,NA,latitude and longitude from handheld GPS or better,-0.089,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,50,0.3404255319148936,0.2127659574468085,1980.625,1934.8,13,1957.7125,13.228538042807314
Boyd_2012,Gambacorta_Marsh,NCGB1,single set of methods,32,34,47.0131901,1.912990473,1,66,1,1,1963,14.724980904541667,17.902858641507173,1.8035225458686923,0.035653093946496295,9,17,3.645315283850662e-20,3.645315283850662e-20,30,36,3,2010,NA,NA,NA,39.655706,-75.574378,NA,NA,latitude and longitude from handheld GPS or better,0.319,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,66,0.7659574468085106,0.6382978723404256,1970.8333333333333,1953.6,33,1962.2166666666667,4.974834819517279
Boyd_2012,Gambacorta_Marsh,NCGB2,single set of methods,8,10,62.76713694,3.066798222,1,54,1,1,1963,14.724980904541667,17.902858641507173,2.6834907763877562,0.0036428992457583353,3,14,9.505528017618686e-8,1.575327252401254e-54,6,12,3,2010,NA,NA,NA,39.656914,-75.570169,NA,NA,latitude and longitude from handheld GPS or better,0.225,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,70,0.2553191489361702,0.1276595744680851,1986.5,1916,9,1951.25,20.351596988934308
Boyd_2012,Gambacorta_Marsh,NCGB3,single set of methods,16,18,73.3264681,3.075369961,1,66,1,1,1963,14.724980904541667,17.902858641507173,3.2733033516554033,5.314916394294489e-4,5,17,3.5031946706642232e-46,3.5031946706642232e-46,14,20,3,2010,NA,NA,NA,39.657391,-75.575393,NA,NA,latitude and longitude from handheld GPS or better,0.142,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,70,0.425531914893617,0.2978723404255319,1977.1,1942.857142857143,17,1959.9785714285713,9.8850613946252
Boyd_2012,Little_Creek_Marsh,LC1,single set of methods,4,6,11.37961814,0.966193993,1,42,1,1,1963,8.0057363884375,7.54586054527287,0.4471168969158965,0.3273953298160919,2,11,0.8974075661035439,0.31259555563279795,2,8,0,2011,NA,NA,NA,39.145008,-75.423547,NA,NA,latitude and longitude from handheld GPS or better,0.703,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,42,0.16666666666666666,0.041666666666666664,1999,1819,5,1909,51.96152422706632
Boyd_2012,Little_Creek_Marsh,LC2,single set of methods,12,14,34.50275019,1.396539889,1,42,1,1,1963,8.0057363884375,7.54586054527287,3.511463489497119,2.2282333647960506e-4,4,11,1.6117546402131846e-8,3.2044529403685295e-15,10,16,3,2011,NA,NA,NA,39.151014,-75.414794,NA,NA,latitude and longitude from handheld GPS or better,0.668,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,42,0.3333333333333333,0.20833333333333334,1981,1934.2,13,1957.6,13.50999629903723
Boyd_2012,Little_Creek_Marsh,LC3,single set of methods,12,14,11.90262598,1.146583237,1,42,1,1,1963,8.0057363884375,7.54586054527287,0.5164274595564478,0.3027779456421713,4,10,0.21133297355939146,0.7107288336388461,10,16,0,2011,NA,NA,NA,39.157496,-75.426916,NA,NA,latitude and longitude from handheld GPS or better,0.491,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,42,0.3333333333333333,0.20833333333333334,1981,1934.2,13,1957.6,13.50999629903723
Boyd_2012,Lukens_Marsh,NCLM1,single set of methods,32,34,29.1769746,1.406119258,1,50,1,1,1963,8.326356727,8.202698824698837,2.541921667319723,0.005512243889240764,9,13,0.9146774449984727,4.383066071291709e-24,30,36,2,2010,NA,NA,NA,39.687158,-75.544244,NA,NA,latitude and longitude from handheld GPS or better,0.963,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,50,0.7659574468085106,0.6382978723404256,1970.8333333333333,1953.6,33,1962.2166666666667,4.974834819517279
Boyd_2012,Lukens_Marsh,NCLM2,single set of methods,36,38,19.99946052,1.247278183,1,70,1,1,1963,8.326356727,8.202698824698837,1.4230808716091778,0.0773563563886186,10,18,0.007232181929613946,0.5191564487920439,34,40,1,2010,NA,NA,NA,39.686761,-75.542156,NA,NA,latitude and longitude from handheld GPS or better,0.989,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,70,0.851063829787234,0.723404255319149,1970.05,1954.7058823529412,37,1962.3779411764706,4.429465227003325
Boyd_2012,Lukens_Marsh,NCLM3,single set of methods,32,34,24.76032901,1.439554012,1,50,1,1,1963,8.326356727,8.202698824698837,2.003483564886752,0.022562704964982916,9,13,0.5533175421645812,1.92631078706353e-11,30,36,2,2010,NA,NA,NA,39.686297,-75.540714,NA,NA,latitude and longitude from handheld GPS or better,0.921,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,50,0.7659574468085106,0.6382978723404256,1970.8333333333333,1953.6,33,1962.2166666666667,4.974834819517279
Boyd_2012,Pickering_Beach_Marsh,PK1,single set of methods,20,22,56.73211546,2.026146981,1,58,1,1,1963,11.291416812347826,12.361621154224242,3.675949786903482,1.1848306646711215e-4,6,14,6.209529448179126e-42,6.209529448179126e-42,18,24,3,2011,NA,NA,NA,39.136889,-75.416706,NA,NA,latitude and longitude from handheld GPS or better,0.871,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,58,0.5,0.375,1975,1947,21,1961,8.082903768654761
Boyd_2012,Pickering_Beach_Marsh,PK2,single set of methods,48,50,35.19377848,1.399518676,1,62,1,1,1963,11.291416812347826,12.361621154224242,1.9335944185188205,0.02658150702983031,13,16,7.111066000672959e-17,7.572642046819554e-10,46,52,3,2011,NA,NA,NA,39.137907,-75.412275,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,NA,62,1.0833333333333333,0.9583333333333334,1968.5384615384614,1956.7391304347825,49,1962.638795986622,3.406173494483275
Boyd_2012,Pickering_Beach_Marsh,PK3,single set of methods,32,34,38.43236429,1.462960369,1,62,1,1,1963,11.291416812347826,12.361621154224242,2.1955815615961916,0.01406095358941395,9,16,1.1975572220868793e-21,9.722280894623936e-10,30,36,3,2011,NA,NA,NA,39.133195,-75.41131,NA,NA,latitude and longitude from handheld GPS or better,0.902,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,62,0.75,0.625,1971,1953.4,33,1962.2,5.080682368868681
Boyd_2012,Port_Mahon_Marsh,MH1,single set of methods,16,18,1.775044583,5.325227252201873,1,42,1,1,1963,5.068282666030303,8.302878024751045,-0.39663813839166306,0.6541828378791807,5,11,0.84118092183892,0.39417661358095407,14,20,0,2011,NA,NA,NA,39.172129,-75.415222,NA,NA,latitude and longitude from handheld GPS or better,0.437,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,42,0.4166666666666667,0.2916666666666667,1977.4,1942.4285714285713,17,1959.9142857142856,10.095381849830082
Boyd_2012,Port_Mahon_Marsh,MH2,single set of methods,8,10,16.27501811,1.35062391,1,42,1,1,1963,5.068282666030303,8.302878024751045,1.3497410669604197,0.08854952723858078,3,11,0.44152814325199585,3.873371402694244e-14,6,12,1,2011,NA,NA,NA,39.162247,-75.420234,NA,NA,latitude and longitude from handheld GPS or better,0.491,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,42,0.25,0.125,1987,1915,9,1951,20.784609690826528
Boyd_2012,Port_Mahon_Marsh,MH3,single set of methods,4,6,40.83153199,1.894583084,1,42,1,1,1963,5.068282666030303,8.302878024751045,4.307331652634032,8.26178831558888e-6,2,11,1.022842999104961e-12,2.0803556994763053e-39,2,8,3,2011,NA,NA,NA,39.162596,-75.427651,NA,NA,latitude and longitude from handheld GPS or better,0.703,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,42,0.16666666666666666,0.041666666666666664,1999,1819,5,1909,51.96152422706632
Boyd_2012,Rivers_Edge_Marsh,NCRE1,single set of methods,48,50,28.35923756,1.270374278,1,78,1,1,1963,7.131736507418182,6.822330561826823,3.111473544151708,9.307807675900115e-4,13,20,3.094920990452834e-18,0.7636262084384193,46,52,2,2010,NA,NA,NA,39.639179,-75.604275,NA,NA,latitude and longitude from handheld GPS or better,0.877,"NAVD88",NA,RTK,NA,brackish,NA,NA,emergent,NA,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Delaware,marsh,C2,B1,A1,94,1.1063829787234043,0.9787234042553191,1968.423076923077,1956.8695652173913,49,1962.646321070234,3.3352115466815517
