study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,volume,number,author,title,journal,school,pages,keywords,copyright,editor,booktitle,institution,language,citation
Krauss_et_al_2018b,Krauss_et_al_2018,Article,Krauss_et_al_2018_1,Article,10.1029/2018gb005897,https://doi.org/10.1029/2018gb005897,2018,may,American Geophysical Union ({AGU}),32,5,Ken W. Krauss and Gregory B. Noe and Jamie A. Duberstein and William H. Conner and Camille L. Stagg and Nicole Cormier and Miriam C. Jones and Christopher E. Bernhardt and B. Graeme Lockaby and Andrew S. From and Thomas W. Doyle and Richard H. Day and Scott H. Ensign and Katherine N. Pierfelice and Cliff R. Hupp and Alex T. Chow and Julie L. Whitbeck,The Role of the Upper Tidal Estuary in Wetland Blue Carbon Storage and Flux,Global Biogeochemical Cycles,NA,817--839,NA,NA,NA,NA,NA,NA,[@Krauss_et_al_2018_1]
Krauss_et_al_2018b,Jones_et_al_2017,Article,Jones_et_al_2017_1,Article,10.1002/2017jg004015,https://doi.org/10.1002/2017jg004015,2017,dec,American Geophysical Union ({AGU}),122,12,Miriam C. Jones and Christopher E. Bernhardt and Ken W. Krauss and Gregory B. Noe,"The Impact of Late Holocene Land Use Change, Climate Variability, and Sea Level Rise on Carbon Storage in Tidal Freshwater Wetlands on the Southeastern United States Coastal Plain",Journal of Geophysical Research: Biogeosciences,NA,3126--3141,NA,NA,NA,NA,NA,NA,[@Jones_et_al_2017_1]
Keshta_et_al_2020_b,Keshta_et_al_2020_data_release,Misc,Keshta_et_al_2020_data_release_1,Misc,10.25573/serc.13187549,https://smithsonian.figshare.com/articles/dataset/Dataset_Soil_Redox_and_Hydropattern_control_Soil_Carbon_Stocks_across_different_habitats_in_Tidal_Freshwater_Wetlands_in_a_Sub-estuary_of_the_Chesapeake_Bay/13187549,2020,NA,The Smithsonian Institution,NA,NA,Amr {El Shahat Sedik Keshta} and Stephanie A. Yarwood and Andrew H. Baldwin,Dataset: Soil Redox and Hydropattern control Soil Carbon Stocks across different habitats in Tidal Freshwater Wetlands in a Sub-estuary of the Chesapeake Bay,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries, Soil Science",Creative Commons Attribution 4.0 International,NA,NA,NA,NA,[@Keshta_et_al_2020_data_release_1]
Keshta_et_al_2020_a,Keshta_et_al_2020_data_release,Misc,Keshta_et_al_2020_data_release_1,Misc,10.25573/serc.13187549,https://smithsonian.figshare.com/articles/dataset/Dataset_Soil_Redox_and_Hydropattern_control_Soil_Carbon_Stocks_across_different_habitats_in_Tidal_Freshwater_Wetlands_in_a_Sub-estuary_of_the_Chesapeake_Bay/13187549,2020,NA,The Smithsonian Institution,NA,NA,Amr {El Shahat Sedik Keshta} and Stephanie A. Yarwood and Andrew H. Baldwin,Dataset: Soil Redox and Hydropattern control Soil Carbon Stocks across different habitats in Tidal Freshwater Wetlands in a Sub-estuary of the Chesapeake Bay,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries, Soil Science",Creative Commons Attribution 4.0 International,NA,NA,NA,NA,[@Keshta_et_al_2020_data_release_1]
Keshta_et_al_2020_b,Keshta_et_al_2017,PhdThesis,Keshta_et_al_2017_1,PhdThesis,10.13016/M2S756M71,https://drum.lib.umd.edu/handle/1903/20335,2017,NA,NA,NA,NA,Amr {El Shahat Sedik Keshta},"HYDROLOGY, SOIL REDOX, AND PORE-WATER IRON REGULATE CARBON CYCLING IN NATURAL AND RESTORED TIDAL FRESHWATER WETLANDS IN THE CHESAPEAKE BAY, MARYLAND, {USA}",NA,University of Maryland,NA,NA,NA,NA,NA,NA,NA,[@Keshta_et_al_2017_1]
Keshta_et_al_2020_a,Keshta_et_al_2017,PhdThesis,Keshta_et_al_2017_1,PhdThesis,10.13016/M2S756M71,https://drum.lib.umd.edu/handle/1903/20335,2017,NA,NA,NA,NA,Amr {El Shahat Sedik Keshta},"HYDROLOGY, SOIL REDOX, AND PORE-WATER IRON REGULATE CARBON CYCLING IN NATURAL AND RESTORED TIDAL FRESHWATER WETLANDS IN THE CHESAPEAKE BAY, MARYLAND, {USA}",NA,University of Maryland,NA,NA,NA,NA,NA,NA,NA,[@Keshta_et_al_2017_1]
Kemp_et_al_2020,Kemp_et_al_2012,Article,Kemp_et_al_2012_1,Article,10.1016/j.quageo.2012.05.004,https://doi.org/10.1016/j.quageo.2012.05.004,2012,oct,Elsevier {BV},12,NA,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,Use of lead isotopes for developing chronologies in recent salt-marsh sediments,Quaternary Geochronology,NA,40--49,NA,NA,NA,NA,NA,NA,[@Kemp_et_al_2012_1]
Kemp_et_al_2020,Kemp_et_al_2020_Data_Release,Misc,Kemp_et_al_2020_Data_Release_1,Misc,10.25573/serc.11569419,NA,2020,NA,The Smithsonian Institution,NA,NA,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,Dataset: Use of lead isotopes for developing chronologies in recent salt-marsh sediments,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Kemp_et_al_2020_Data_Release_1]
Kauffman_et_al_2020,Kauffman_et_al_2020,Misc,Kauffman_et_al_2020_1,Misc,10.25573/serc.12640172,https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_in_seagrass_meadows_emergent_marshes_and_forested_tidal_swamps_of_the_Pacific_Northwest/12640172,2020,aug,The Smithsonian Institution,NA,NA,{J. Boone Kauffman} and Leila Giovanonni and James Kelly and Nicholas Dunstan and Amy Borde and {Heida Diefenderfer} and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,"Dataset: Carbon stocks in seagrass meadows, emergent marshes, and forested tidal swamps of the Pacific Northwest",NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries",Creative Commons Attribution 4.0 International,NA,NA,NA,NA,[@Kauffman_et_al_2020_1]
Kauffman_et_al_2020,Kauffman_et_al_2020,Article,Kauffman_et_al_2020_2,Article,10.1111/gcb.15248,https://doi.org/10.1111/gcb.15248,2020,oct,Wiley,NA,NA,J. Boone Kauffman and Leila Giovanonni and James Kelly and Nicholas Dunstan and Amy Borde and Heida Diefenderfer and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,"Total ecosystem carbon stocks at the marine-terrestrial interface: Blue carbon of the Pacific Northwest Coast, United States",Global Change Biology,NA,NA,NA,NA,NA,NA,NA,NA,[@Kauffman_et_al_2020_2]
Johnson_et_al_2007,Johnson_et_al_2007,Article,Johnson_et_al_2007_1,Article,10.1016/j.orggeochem.2006.06.006,https://doi.org/10.1016/j.orggeochem.2006.06.006,2007,mar,Elsevier {BV},38,3,Beverly J. Johnson and Karen A. Moore and Charlotte Lehmann and Curtis Bohlen and Thomas A. Brown,"Middle to late Holocene fluctuations of C3 and C4 vegetation in a Northern New England Salt Marsh, Sprague Marsh, Phippsburg Maine",Organic Geochemistry,NA,394--403,NA,NA,NA,NA,NA,NA,[@Johnson_et_al_2007_1]
Nuttle_1996,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Radabaugh_et_al_2018,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Hill_and_Anisfeld_2015,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Breithaupt_et_al_2017,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Cochran_et_al_1998,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Noe_et_al_2013,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
CRMS_Database,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Drake_et_al_2015,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Elsey_Quirk_et_al_2011,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Kulawardhana_et_al_2015,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Merrill_1999,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Neubauer_2002,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Nyman_et_al_1993,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Orson_1990,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Pastore_et_al_2017,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Piazza_et_al_2011,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Windham_Meyers_et_al_2010,Holmquist_et_al_2018,synthesis,Holmquist_et_al_2018_1,Misc,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Holmquist_et_al_2018_1]
Cochran_et_al_1998,Cochran_et_al_1998,Article,Cochran_et_al_1998_1,Article,10.1006/ecss.1997.0299,https://doi.org/10.1006/ecss.1997.0299,1998,apr,Elsevier {BV},46,4,J.K. Cochran and D.J. Hirschberg and J. Wang and C. Dere,"Atmospheric Deposition of Metals to Coastal Waters (Long Island Sound, New York {U.S.A.}): Evidence from Saltmarsh Deposits","Estuarine, Coastal and Shelf Science",NA,503--522,NA,NA,NA,NA,NA,NA,[@Cochran_et_al_1998_1]
Neubauer_2002,Neubauer_2002,Article,Neubauer_2002_1,Article,10.1006/ecss.2001.0854,https://doi.org/10.1006/ecss.2001.0854,2002,apr,Elsevier {BV},54,4,S.C. Neubauer and I.C. Anderson and J.A. Constantine and S.A. Kuehl,Sediment Deposition and Accretion in a Mid-Atlantic ({U.S.A.}) Tidal Freshwater Marsh,"Estuarine, Coastal and Shelf Science",NA,713--727,NA,NA,NA,NA,NA,NA,[@Neubauer_2002_1]
Drake_et_al_2015,Drake_et_al_2015,Article,Drake_et_al_2015_1,Article,10.1007/s00267-015-0568-z,https://doi.org/10.1007/s00267-015-0568-z,2015,jun,Springer Nature,56,4,Katherine Drake and Holly Halifax and Susan C. Adamowicz and Christopher Craft,Carbon Sequestration in Tidal Salt Marshes of the Northeast United States,Environmental Management,NA,998--1008,NA,NA,NA,NA,NA,NA,[@Drake_et_al_2015_1]
Noe_et_al_2013,Noe_et_al_2013,Article,Noe_et_al_2013_1,Article,10.1007/s10533-012-9805-1,https://doi.org/10.1007/s10533-012-9805-1,2013,jul,Springer Nature,114,NA,Gregory B. Noe and Ken W. Krauss and B. Graeme Lockaby and William H. Conner and Cliff R. Hupp,The effect of increasing salinity and forest mortality on soil nitrogen and phosphorus mineralization in tidal freshwater forested wetlands,Biogeochemistry,NA,225--244,NA,NA,NA,NA,NA,NA,[@Noe_et_al_2013_1]
Pastore_et_al_2017,Pastore_et_al_2017,Article,Pastore_et_al_2017_1,Article,10.1007/s10533-017-0312-2,https://doi.org/10.1007/s10533-017-0312-2,2017,mar,Springer Nature,133,1,Melissa A. Pastore and J. Patrick Megonigal and J. Adam Langley,Elevated {CO2} and nitrogen addition accelerate net carbon gain in a brackish marsh,Biogeochemistry,NA,73--87,NA,NA,NA,NA,NA,NA,[@Pastore_et_al_2017_1]
