study_id,bibliography_id,publication_type,bibtype,title,author,school,year,doi,url,month,publisher,volume,number,pages,journal,keywords,copyright,editor,booktitle,institution,language
Yando_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,2017,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_and_Twilley_1999,Chen_and_Twilley_1999_article,synthesis source,Article,A simulation model of organic matter and nutrient accumulation in mangrove wetland soils,Ronghua Chen and Robert R. Twilley,NA,1999,10.1007/bf00993000,https://doi.org/10.1007/bf00993000,jan,Springer Science and Business Media {LLC},44,1,93--118,Biogeochemistry,NA,NA,NA,NA,NA,NA
Osland_et_al_2012,Osland_et_al_2012_article,synthesis source,Article,Ecosystem Development After Mangrove Wetland Creation: Plant{\textendash}Soil Change Across a 20-Year Chronosequence,Michael J. Osland and Amanda C. Spivak and Janet A. Nestlerode and Jeannine M. Lessmann and Alejandro E. Almario and Paul T. Heitmuller and Marc J. Russell and Ken W. Krauss and Federico Alvarez and Darrin D. Dantin and James E. Harvey and Andrew S. From and Nicole Cormier and Camille L. Stagg,NA,2012,10.1007/s10021-012-9551-1,https://doi.org/10.1007/s10021-012-9551-1,may,Springer Science and Business Media {LLC},15,5,848--866,Ecosystems,NA,NA,NA,NA,NA,NA
Smoak_et_al_2013,Smoak_et_al_2013_article,synthesis source,Article,Sediment accretion and organic carbon burial relative to sea-level rise and storm events in two mangrove forests in Everglades National Park,Joseph M. Smoak and Joshua L. Breithaupt and Thomas J. Smith and Christian J. Sanders,NA,2013,10.1016/j.catena.2012.10.009,https://doi.org/10.1016/j.catena.2012.10.009,may,Elsevier {BV},104,NA,58--66,{CATENA},NA,NA,NA,NA,NA,NA
Chmura_et_al_2003,Chmura_et_al_2003_article,synthesis source,Article,"Global carbon sequestration in tidal, saline wetland soils",Gail L. Chmura and Shimon C. Anisfeld and Donald R. Cahoon and James C. Lynch,NA,2003,10.1029/2002gb001917,https://doi.org/10.1029/2002gb001917,dec,American Geophysical Union ({AGU}),17,4,n/a--n/a,Global Biogeochemical Cycles,NA,NA,NA,NA,NA,NA
Yando_et_al_2016,Yando_et_al_2016_article,synthesis source,Article,Salt marsh-mangrove ecotones: using structural gradients to investigate the effects of woody plant encroachment on plant-soil interactions and ecosystem carbon pools,Erik S. Yando and Michael J. Osland and Jonathan M. Willis and Richard H. Day and Ken W. Krauss and Mark W. Hester,NA,2016,10.1111/1365-2745.12571,https://doi.org/10.1111/1365-2745.12571,apr,Wiley,104,4,1020--1031,Journal of Ecology,NA,NA,Rebecca McCulley,NA,NA,NA
Marchio_et_al_2016,Marchio_et_al_2016_article,synthesis source,Article,Carbon Sequestration and Sedimentation in Mangrove Swamps Influenced by Hydrogeomorphic Conditions and Urbanization in Southwest Florida,Daniel Marchio and Michael Savarese and Brian Bovard and William Mitsch,NA,2016,10.3390/f7060116,https://doi.org/10.3390/f7060116,may,{MDPI} {AG},7,12,116,Forests,NA,NA,NA,NA,NA,NA
Cahoon_and_Lynch_1997,Cahoon_and_Lynch_1997_article,synthesis source,Article,"Vertical accretion and shallow subsidence in a mangrove forest of southwestern Florida, USA","Cahoon, Donald R and Lynch, James C",NA,1997,NA,NA,NA,NA,1,3,NA,Mangroves and Salt Marshes,NA,NA,NA,NA,NA,NA
Callaway_et_al_1997,Callaway_et_al_1997_article,synthesis source,Article,Sediment accretion rates from four coastal wetlands along the Gulf of Mexico,"Callaway, JC and DeLaune, RD and Patrick Jr, WH",NA,1997,NA,NA,NA,NA,NA,NA,NA,Journal of Coastal Research,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_article,synthesis source,Article,Carbon Sequestration in a Pacific Northwest Eelgrass (Zostera marina) Meadow,KL Poppe and JM Rybczyk,NA,2018,10.3955/046.092.0202,NA,NA,NA,92,2,NA,Northwest Science,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_mastersthesis,synthesis source,MastersThesis,An Ecogeomorphic Model to Assess the Response of Padilla Bay's Eelgrass Habitat to Sea Level Rise,KL Poppe,Western Washington University,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,2019,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2019_techreport,synthesis source,TechReport,A Blue Carbon Assessment for the Stillaguamish River Estuary: Quantifying the Climate Benefits of Tidal Marsh Restoration,KL Poppe and JM Rybczyk,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Western Washington University,NA
Poppe_and_Rybczyk_2019,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,2019,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Poppe_et_al_2019,Poppe_et_al_2019_techreport,synthesis source,TechReport,Coastal Blue Carbon Opportunity Assessment for the Snohomish Estuary: The Climate Benefits of Estuary Restoration,S Crooks and J Rybczyk and K O`Connell and D L Devier and K Poppe and S Emmett-Mattox,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Western Washington University,NA
Poppe_et_al_2019,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,2019,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Peck_et_al_2020,Peck_et_al_2020_data,primary dataset,Misc,"Dataset: Controls on sediment accretion and blue carbon burial in tidal saline wetlands: Insights from the Oregon coast, U.S.A.",Erin Peck and Robert Wheatcroft and Laura Brophy,NA,2020,10.25573/SERC.11317820.V2,https://smithsonian.figshare.com/articles/Dataset_Controls_on_sediment_accretion_and_blue_carbon_burial_in_tidal_saline_wetlands_Insights_from_the_Oregon_coast_U_S_A_/11317820/2,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Peck_et_al_2020,Peck_et_al_2020_article,associated source,Article,"Controls on Sediment Accretion and Blue Carbon Burial in Tidal Saline Wetlands: Insights From the Oregon Coast, {USA}",Erin K. Peck and Robert A. Wheatcroft and Laura S. Brophy,NA,2020,10.1029/2019jg005464,https://doi.org/10.1029/2019jg005464,feb,American Geophysical Union ({AGU}),125,2,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA
Osland_et_al_2016,Osland_et_al_2016_data,primary dataset,Misc,"Vegetation, soil, and landscape data",Michael J Osland,NA,2017,10.5066/F7J1017G,https://www.sciencebase.gov/catalog/item/5731fbace4b0dae0d5dc1e59,NA,U.S. Geological Survey,NA,NA,NA,NA,NCCWSC/CSC Data Product,NA,NA,NA,NA,NA
Noe_et_al_2016,Noe_et_al_2016_combined,combined dataset and manuscript,Article,Contemporary Deposition and Long-Term Accumulation of Sediment and Nutrients by Tidal Freshwater Forested Wetlands Impacted by Sea Level Rise,Gregory B. Noe and Cliff R. Hupp and Christopher E. Bernhardt and Ken W. Krauss,NA,2016,10.1007/s12237-016-0066-4,https://doi.org/10.1007/s12237-016-0066-4,jan,Springer Science and Business Media {LLC},39,4,1006--1019,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,Nahlik_and_Fennessy_2016_article,associated source,Article,Carbon storage in US wetlands,"Nahlik, Amanda M. and Fennessy, Siobhan",NA,2016,doi.org/10.1038/ncomms13835,https://doi.org/10.1038/ncomms13835,dec,Springer Nature,NA,NA,NA,Nature Communications,NA,NA,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,Nahlik_and_Fennessy_2016_data,primary dataset,Misc,National Wetland Condition Assessment 2011,NA,NA,2016,NA,https://www.epa.gov/national-aquatic-resource-surveys/data-national-aquatic-resource-surveys,NA,U.S. Environmental Protection Agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nahlik_and_Fennessy_2016,Nahlik_and_Fennessy_2016_techreport,associated source,Misc,National Wetland Condition Assessment: 2011 Technical Report,NA,NA,2016,NA,https://www.epa.gov/national-aquatic-resource-surveys/national-wetland-condition-assessment-2011-technical-report,may,U.S. Environmental Protection Agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,Messerschmidt_and_Kirwan_2020_data,primary dataset,Misc,"Dataset: Soil properties and accretion rates of C3 and C4 marshes at the Global Change Research Wetland, Edgewater, Maryland",Tyler C. Messerschmidt and Matthew L. Kirwan,NA,2020,10.25573/SERC.11914140,https://smithsonian.figshare.com/articles/Dataset_Soil_properties_and_accretion_rates_of_C3_and_C4_marshes_at_the_Global_Change_Research_Wetland_Edgewater_Maryland/11914140,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
McTigue_et_al_2020,McTigue_et_al_2019_article,associated source,Article,Sea-level rise explains changing carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Tony Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,2019,NA,NA,NA,Wiley Online Library,NA,NA,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA
McTigue_et_al_2020,McTigue_et_al_2020_data,primary dataset,Misc,Dataset: Carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Antonio Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,2020,10.25573/serc.11421063,NA,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,Luk_et_al_2021_article,associated source,Article,Soil Organic Carbon Development and Turnover in Natural and Disturbed Salt Marsh Environments,Sheron Y. Luk and Katherine Todd-Brown and Meagan Eagle and Ann P. McNichol and Jonathan Sanderman and Kelsey Gosselin and Amanda C. Spivak,NA,2021,10.1029/2020gl090287,https://doi.org/10.1029/2020gl090287,jan,American Geophysical Union ({AGU}),48,2,NA,Geophysical Research Letters,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,Spivak_2020_data,primary dataset,Misc,Bulk soil and elemental properties of marsh and infilled pond soils collected in 2014-2015 within Plum Island Ecosystems LTER,Amanda Spivak,NA,2020,10.26008/1912/BCO-DMO.827298.1,https://hdl.handle.net/1912/26379,NA,Biological and Chemical Oceanography Data Management Office (BCO-DMO),NA,NA,NA,NA,NA,NA,NA,NA,NA,en
Luk_et_al_2020,Luk_et_al_2020_data,primary dataset,Misc,"Collection, analysis, and age-dating of sediment cores from a salt marsh platform and ponds, Rowley, Massachusetts, 2014-15",Sheron Luk and Amanda Spivak and Meagan J Eagle and Jennifer A {O'keefe Suttles},NA,2020,10.5066/P9HIOWKT,https://www.sciencebase.gov/catalog/item/5fb41153d34eb413d5e0af37,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagomasino_et_al_2020,Lagomasino_et_al_2020_data,primary dataset,Misc,"Dataset: Influence of Wind-Driven Inundation and Coastal Geomorphology on Sedimentation in Two Microtidal Marshes, Pamlico River Estuary, NC",David Lagomasino and {D. Reide Corbett} and {J.P. Walsh},NA,2020,10.25573/SERC.12043335,https://smithsonian.figshare.com/articles/Dataset_Influence_of_Wind-Driven_Inundation_and_Coastal_Geomorphology_on_Sedimentation_in_Two_Microtidal_Marshes_Pamlico_River_Estuary_NC/12043335,NA,The Smithsonian Institution,NA,NA,NA,NA,"Environmental Science, 40303 Geochronology, FOS: Earth and related environmental sciences, Geology, 40310 Sedimentology, Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Lagomasino_et_al_2020,Lagomasino_et_al_2013_article,associated source,Article,"Influence of wind-driven inundation and coastal geomorphology on sedimentation in two microtidal marshes, Pamlico River Estuary, NC",David Lagomasino and D Reide Corbett and JP Walsh,NA,2013,10.1007/s12237-013-9625-0,NA,NA,Springer,36,6,1165--1180,Estuaries and coasts,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Krauss_et_al_2018_data,primary dataset,Misc,"Carbon budget assessment of tidal freshwater forested wetland and oligohaline marsh ecosystems along the Waccamaw and Savannah rivers, U.S.A. (2005-2016)",Christopher E Bernhardt and Ken W. Krauss and Nicole Cormier and Andrew From and Miriam C Jones and William H Conner and Gregory Noe and Jamie A Duberstein,NA,2018,10.5066/F7TM7930,https://www.sciencebase.gov/catalog/item/59e9f79de4b05fe04cd690a1,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Krauss_et_al_2018_article,associated source,Article,The Role of the Upper Tidal Estuary in Wetland Blue Carbon Storage and Flux,Ken W. Krauss and Gregory B. Noe and Jamie A. Duberstein and William H. Conner and Camille L. Stagg and Nicole Cormier and Miriam C. Jones and Christopher E. Bernhardt and B. Graeme Lockaby and Andrew S. From and Thomas W. Doyle and Richard H. Day and Scott H. Ensign and Katherine N. Pierfelice and Cliff R. Hupp and Alex T. Chow and Julie L. Whitbeck,NA,2018,10.1029/2018gb005897,https://doi.org/10.1029/2018gb005897,may,American Geophysical Union ({AGU}),32,5,817--839,Global Biogeochemical Cycles,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Jones_et_al_2017_article,associated source,Article,"The Impact of Late Holocene Land Use Change, Climate Variability, and Sea Level Rise on Carbon Storage in Tidal Freshwater Wetlands on the Southeastern United States Coastal Plain",Miriam C. Jones and Christopher E. Bernhardt and Ken W. Krauss and Gregory B. Noe,NA,2017,10.1002/2017jg004015,https://doi.org/10.1002/2017jg004015,dec,American Geophysical Union ({AGU}),122,12,3126--3141,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA
Keshta_et_al_2020,Keshta_et_al_2020_data,primary dataset,Misc,Dataset: Soil Redox and Hydropattern control Soil Carbon Stocks across different habitats in Tidal Freshwater Wetlands in a Sub-estuary of the Chesapeake Bay,Amr E. Keshta and Stephanie A. Yarwood and Andrew H. Baldwin,NA,2020,10.25573/serc.13187549,https://smithsonian.figshare.com/articles/dataset/Dataset_Soil_Redox_and_Hydropattern_control_Soil_Carbon_Stocks_across_different_habitats_in_Tidal_Freshwater_Wetlands_in_a_Sub-estuary_of_the_Chesapeake_Bay/13187549,NA,The Smithsonian Institution,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries, Soil Science",Creative Commons Attribution 4.0 International,NA,NA,NA,NA
Keshta_et_al_2020,Keshta_et_al_2017_article,associated source,PhdThesis,"HYDROLOGY, SOIL REDOX, AND PORE-WATER IRON REGULATE CARBON CYCLING IN NATURAL AND RESTORED TIDAL FRESHWATER WETLANDS IN THE CHESAPEAKE BAY, MARYLAND, USA",Amr E. Keshta and Stephanie A. Yarwood and Andrew H. Baldwin,University of Maryland,2017,10.13016/M2S756M71,https://drum.lib.umd.edu/handle/1903/20335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2020,Kemp_et_al_2012_article,associated source,Article,Use of lead isotopes for developing chronologies in recent salt-marsh sediments,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,NA,2012,10.1016/j.quageo.2012.05.004,https://doi.org/10.1016/j.quageo.2012.05.004,oct,Elsevier {BV},12,NA,40--49,Quaternary Geochronology,NA,NA,NA,NA,NA,NA
Kemp_et_al_2020,Kemp_et_al_2020_data,primary dataset,Misc,Dataset: Use of lead isotopes for developing chronologies in recent salt-marsh sediments,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,NA,2020,10.25573/serc.11569419,NA,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Kauffman_et_al_2020_data,primary dataset,Misc,"Dataset: Carbon stocks in seagrass meadows, emergent marshes, and forested tidal swamps of the Pacific Northwest",{J. Boone Kauffman} and Leila Giovannoni and James Kelly and Nicholas Dunstan and Amy Borde and {Heida Diefenderfer} and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,NA,2020,10.25573/serc.12640172,https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_in_seagrass_meadows_emergent_marshes_and_forested_tidal_swamps_of_the_Pacific_Northwest/12640172,aug,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries",Creative Commons Attribution 4.0 International,NA,NA,NA,NA
Kauffman_et_al_2020,Kauffman_et_al_2020_article,associated source,Article,"Total ecosystem carbon stocks at the marine-terrestrial interface: Blue carbon of the Pacific Northwest Coast, United States",J. Boone Kauffman and Leila Giovannoni and James Kelly and Nicholas Dunstan and Amy Borde and Heida Diefenderfer and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,NA,2020,10.1111/gcb.15248,https://doi.org/10.1111/gcb.15248,aug,Wiley,NA,NA,NA,Global Change Biology,NA,NA,NA,NA,NA,NA
Johnson_et_al_2007,Johnson_et_al_2007_article,associated source,Article,"Middle to late Holocene fluctuations of C3 and C4 vegetation in a Northern New England Salt Marsh, Sprague Marsh, Phippsburg Maine",Beverly J. Johnson and Karen A. Moore and Charlotte Lehmann and Curtis Bohlen and Thomas A. Brown,NA,2007,10.1016/j.orggeochem.2006.06.006,https://doi.org/10.1016/j.orggeochem.2006.06.006,mar,Elsevier {BV},38,3,394--403,Organic Geochemistry,NA,NA,NA,NA,NA,NA
