study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_fraction,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13,be7_activity,be7_activity_se,be7_unit,age,age_min,age_max,age_se,depth_interval_notes,date
Adame_et_al_2013,MFA13 Laguna Xamach,M0177,single set of methods,0,15,0.4,NA,0.09300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Laguna Xamach,M0177,single set of methods,15,30,0.55,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Laguna Xamach,M0177,single set of methods,30,50,0.95,NA,0.028999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Laguna Xamach,M0177,single set of methods,50,100,0.74,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-13-10,M1716,single set of methods,0,20,0.6651684358804159,NA,0.054000000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-13-10,M1716,single set of methods,20,50,0.9737389522610487,NA,0.0161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-13-2,M1717,single set of methods,0,20,0.8692364735561318,NA,0.023399999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-13-2,M1717,single set of methods,20,50,0.895614352394081,NA,0.0212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-13-7,M1718,single set of methods,0,20,0.8298120083477454,NA,0.0273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-13-7,M1718,single set of methods,20,50,0.8191529514558917,NA,0.0285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-13-8,M1719,single set of methods,0,20,1.1665312803508214,NA,0.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-13-8,M1719,single set of methods,20,50,1.097396984135937,NA,0.010700000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-14-2,M1720,single set of methods,0,20,0.7703819030763818,NA,0.0349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-14-2,M1720,single set of methods,20,50,1.1665312803508214,NA,0.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-14-9,M1721,single set of methods,0,20,0.8647995343469577,NA,0.023799999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-14-9,M1721,single set of methods,20,50,1.1529293235735838,NA,0.0089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-5-4,M1722,single set of methods,0,20,0.8670053081652287,NA,0.0236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-5-4,M1722,single set of methods,20,50,0.8681176842810282,NA,0.0235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-5-5,M1723,single set of methods,0,20,0.840133975146433,NA,0.0262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-5-5,M1723,single set of methods,20,50,1.004913454322434,NA,0.014499999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-5-8,M1724,single set of methods,0,20,1.255219292616988,NA,0.0062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-5-8,M1724,single set of methods,20,50,1.3242668697821334,NA,0.004699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-11,M1725,single set of methods,0,20,1.054847479273221,NA,0.0123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-11,M1725,single set of methods,20,50,1.1463103313504153,NA,0.0091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-12,M1726,single set of methods,0,20,0.7925412842714733,NA,0.0318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-12,M1726,single set of methods,20,50,0.8420722095513202,NA,0.026000000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-13,M1727,single set of methods,0,20,1.0403213252574595,NA,0.0129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-13,M1727,single set of methods,20,50,1.0598541995572037,NA,0.0121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-14,M1728,single set of methods,0,20,0.7363866101222482,NA,0.0403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-14,M1728,single set of methods,20,50,0.9510652698888195,NA,0.0174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-2,M1729,single set of methods,0,20,0.6419137589222834,NA,0.0591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-2,M1729,single set of methods,20,50,0.8784257555860708,NA,0.0226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-5,M1730,single set of methods,0,20,0.8930664448467672,NA,0.021400000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-5,M1730,single set of methods,20,50,1.1770617288672205,NA,0.008199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-8,M1731,single set of methods,0,20,0.7888030376864896,NA,0.0323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Ihassunge-9-8,M1731,single set of methods,20,50,1.136602064946269,NA,0.009399999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,AO_1454_P213c/60,M1706,single set of methods,0,11,0.8626186370331019,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,AO_1454_P213c/60,M1706,single set of methods,11,28.000000000000004,1.2342965804213848,NA,0.0067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,AO_1454_P213c/60,M1706,single set of methods,127,165,1.4040177714264013,NA,0.0032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,AO_1454_P213c/60,M1706,single set of methods,28.000000000000004,53,1.4515696460367469,NA,0.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,AO_1454_P213c/60,M1706,single set of methods,53,85,1.5303262776614246,NA,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,AO_1454_P213c/60,M1706,single set of methods,85,127,1.5233986335302765,NA,0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,CD_SOTER_MA26,M1711,single set of methods,0,17,0.5023867741923943,NA,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,CD_SOTER_MA26,M1711,single set of methods,100,114.99999999999999,0.3207712481171475,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,CD_SOTER_MA26,M1711,single set of methods,114.99999999999999,140,0.3207712481171475,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,CD_SOTER_MA26,M1711,single set of methods,140,175,0.2342275609152933,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,CD_SOTER_MA26,M1711,single set of methods,17,50,0.24597220589078517,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,CD_SOTER_MA26,M1711,single set of methods,175,200,0.21333450991026168,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,CD_SOTER_MA26,M1711,single set of methods,50,75,0.3033725116629524,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,CD_SOTER_MA26,M1711,single set of methods,75,100,0.3207712481171475,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,GW_6050_X/207,M1715,single set of methods,0,10,0.9413092247909884,NA,0.018000000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,GW_6050_X/207,M1715,single set of methods,10,49,1.037970058456357,NA,0.013000000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,GW_6050_X/207,M1715,single set of methods,49,82,1.136602064946269,NA,0.009399999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,0,5.14,NA,NA,0.061040000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,10.236,15.387,NA,NA,0.06391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,15.387,20.111,NA,NA,0.060110000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,20.111,25.075999999999997,NA,NA,0.054150000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,25.075999999999997,30.097,0.642091184230801,NA,0.059059999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,30.097,35.136,NA,NA,0.04503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,35.136,40.24,NA,NA,0.03916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,40.24,45.279,NA,NA,0.042969999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,45.279,50.224999999999994,NA,NA,0.04902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,5.14,10.236,NA,NA,0.07301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,50.224999999999994,55.63600000000001,0.7376231134512667,NA,0.04009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,55.63600000000001,60.535,NA,NA,0.0361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,60.535,65.558,NA,NA,0.02817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,65.558,70.865,0.8243196270494789,NA,0.02791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,70.865,76.062,NA,NA,0.02109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,76.062,78.725,NA,NA,0.02396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,78.725,80.924,0.8737770964435913,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,80.924,83.051,NA,NA,0.01558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D1,M0028,single set of methods,83.051,85.17799999999998,NA,NA,0.020030000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,0,6.041,NA,NA,0.0129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,10.886,15.638,NA,NA,0.013819999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,15.638,20.529,NA,NA,0.01701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,20.529,25.502999999999997,NA,NA,0.01598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,25.502999999999997,30.672,NA,NA,0.01098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,30.672,35.545,NA,NA,0.012969999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,35.545,40.519,NA,NA,0.00815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,40.519,45.594,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,45.594,50.624,NA,NA,0.00887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,50.624,56.03399999999999,NA,NA,0.00903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,56.03399999999999,60.946,NA,NA,0.011000000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,6.041,10.886,NA,NA,0.01494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,60.946,65.995,NA,NA,0.00711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,65.995,71.256,NA,NA,0.00598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,71.256,75.924,NA,NA,0.00614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,DMA00 D2,M0029,single set of methods,75.924,79.06,NA,NA,0.00685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
